experiment_name,num_params,model_size_mb,avg_rtf,pesq,stoi,mel_l1,avg_generator_rtf
H3_256C_pruned70_Mask_pruning,3555649,13.616,0.2648,1.719282853603363,0.9014823050349741,0.36562027484178544,0.2641
H4_256C_pruned30_int8_Mask_pruning_resblocks_range_3_8,3555793,11.861,0.0562,2.097884637117386,0.9085208700692103,0.5822718679904938,0.0554
H4_256C_pruned50_int8_Mask_pruning_resblocks_range_3_8,3555793,11.861,0.0566,1.884032130241394,0.9004222742756373,0.8721516847610473,0.0558
H1_512C_baseline,13936130,53.239,0.2879,2.771301281452179,0.9598698054320141,0.20455532446503638,0.2871
H4_256C_pruned70_int8_Mask_pruning_resblocks_range_3_8,3555793,11.861,0.0576,1.681436651945114,0.8928750063345466,0.7116053253412247,0.0568
H2_512C_quantized_resblocks_range_3_8,13926161,45.91,0.1532,2.6318930983543396,0.9513756176803634,0.2682345017790794,0.1524
H3_512C_pruned30_Mask_pruning,13926017,53.175,0.2894,2.2249565064907073,0.9320530372718402,0.30063446909189223,0.2886
H3_512C_pruned50_Mask_pruning,13926017,53.175,0.2879,2.197063720226288,0.9415382207674042,0.26950416564941404,0.2871
H3_512C_pruned70_Mask_pruning,13926017,53.175,0.2848,2.0108864426612856,0.9293903514007125,0.29989704191684724,0.284
H4_512C_pruned30_int8_Mask_pruning_resblocks_range_3_8,13926161,45.91,0.1549,1.795193177461624,0.8877994457432047,1.3816219031810761,0.1542
H4_512C_pruned50_int8_Mask_pruning_resblocks_range_3_8,13926161,45.91,0.1576,1.9133060932159425,0.9112502989407949,1.028773957490921,0.1569
H4_512C_pruned70_int8_Mask_pruning_resblocks_range_3_8,13926161,45.91,0.1545,1.9271439611911774,0.9100805452687479,1.2050990223884583,0.1537
